topic,group,scenario,expected_produce_ok,expected_consume_ok,python_produce_ok,python_consume_ok,python_match,cpp_produce_ok,cpp_consume_ok,cpp_match
test_acl_202601201117,test_acl_202601201117-test_01231345-consumer,no_group_anonymous,True,True,True,True,True,True,True,True
test_acl_202601201117,test_acl_202601201117-test_01231345-consumer,no_group_authenticated,True,False,True,False,True,True,False,True
test_acl_202601201117,test_acl_202601201117-test_01231345-consumer,with_group_anonymous,True,True,True,True,True,True,True,True
test_acl_202601201117,test_acl_202601201117-test_01231345-consumer,with_group_authenticated,True,True,True,True,True,True,True,True
acl_test_202601201654,acl_test_202601201654-test_01272136-consumer,no_group_anonymous,False,False,False,False,True,False,False,True
acl_test_202601201654,acl_test_202601201654-test_01272136-consumer,no_group_authenticated,True,False,True,False,True,True,False,True
acl_test_202601201654,acl_test_202601201654-test_01272136-consumer,with_group_anonymous,False,False,False,False,True,False,False,True
acl_test_202601201654,acl_test_202601201654-test_01272136-consumer,with_group_authenticated,True,True,True,True,True,True,True,True
zhenghan_acl_test1,zhenghan_acl_test1-acl_test-consumer,no_group_anonymous,True,True,True,True,True,True,True,True
zhenghan_acl_test1,zhenghan_acl_test1-acl_test-consumer,no_group_authenticated,True,True,True,True,True,True,True,True
zhenghan_acl_test1,zhenghan_acl_test1-acl_test-consumer,with_group_anonymous,True,True,True,True,True,True,True,True
zhenghan_acl_test1,zhenghan_acl_test1-acl_test-consumer,with_group_authenticated,True,True,True,True,True,True,True,True
zhenghan_acl_test2,zhenghan_acl_test2-acl_test-consumer,no_group_anonymous,False,False,False,False,True,False,False,True
zhenghan_acl_test2,zhenghan_acl_test2-acl_test-consumer,no_group_authenticated,True,True,True,True,True,True,True,True
zhenghan_acl_test2,zhenghan_acl_test2-acl_test-consumer,with_group_anonymous,False,False,False,False,True,False,False,True
zhenghan_acl_test2,zhenghan_acl_test2-acl_test-consumer,with_group_authenticated,True,True,True,True,True,True,True,True
zhenghan_acl_test3,zhenghan_acl_test3-acl_test-consumer,no_group_anonymous,True,True,True,True,True,True,True,True
zhenghan_acl_test3,zhenghan_acl_test3-acl_test-consumer,no_group_authenticated,True,True,True,True,True,True,True,True
zhenghan_acl_test3,zhenghan_acl_test3-acl_test-consumer,with_group_anonymous,True,True,True,True,True,True,True,True
zhenghan_acl_test3,zhenghan_acl_test3-acl_test-consumer,with_group_authenticated,True,True,True,True,True,True,True,True
zhenghan_acl_test4,zhenghan_acl_test4-acl_test-consumer,no_group_anonymous,True,True,True,True,True,True,True,True
zhenghan_acl_test4,zhenghan_acl_test4-acl_test-consumer,no_group_authenticated,True,True,True,True,True,True,True,True
zhenghan_acl_test4,zhenghan_acl_test4-acl_test-consumer,with_group_anonymous,True,True,True,True,True,True,True,True
zhenghan_acl_test4,zhenghan_acl_test4-acl_test-consumer,with_group_authenticated,True,True,True,True,True,True,True,True
zhenghan_acl_test5,zhenghan_acl_test5-acl_test-consumer,no_group_anonymous,True,True,True,True,True,True,True,True
zhenghan_acl_test5,zhenghan_acl_test5-acl_test-consumer,no_group_authenticated,True,True,True,True,True,True,True,True
zhenghan_acl_test5,zhenghan_acl_test5-acl_test-consumer,with_group_anonymous,True,True,True,True,True,True,True,True
zhenghan_acl_test5,zhenghan_acl_test5-acl_test-consumer,with_group_authenticated,True,True,True,True,True,True,True,True
zhenghan_acl_test6,zhenghan_acl_test6-acl_test-consumer,no_group_anonymous,True,True,True,True,True,True,True,True
zhenghan_acl_test6,zhenghan_acl_test6-acl_test-consumer,no_group_authenticated,True,True,True,True,True,True,True,True
zhenghan_acl_test6,zhenghan_acl_test6-acl_test-consumer,with_group_anonymous,True,True,True,True,True,True,True,True
zhenghan_acl_test6,zhenghan_acl_test6-acl_test-consumer,with_group_authenticated,True,True,True,True,True,True,True,True
zhenghan_acl_test1,invalid_credential_auth_case_9093-consumer,no_group_anonymous,True,True,True,True,True,True,True,True
zhenghan_acl_test1,invalid_credential_auth_case_9093-consumer,no_group_authenticated,False,False,False,False,True,False,False,True
zhenghan_acl_test1,invalid_credential_auth_case_9093-consumer,with_group_anonymous,True,True,True,True,True,True,True,True
zhenghan_acl_test1,invalid_credential_auth_case_9093-consumer,with_group_authenticated,False,False,False,False,True,False,False,True
